#options: 1920x1080 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1778 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:122 out:124 type:b dur:2 cpbdur:2 q:18.88 aq:19.79 tex:2165 mv:422 misc:589 imb:1 pmb:63 smb:8096 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:18.54 aq:18.54 tex:2877 mv:783 misc:476 imb:3 pmb:54 smb:8103 d:- ref:0 ;
in:129 out:126 type:P dur:2 cpbdur:2 q:17.88 aq:9.47 tex:163924 mv:2219 misc:5521 imb:47 pmb:1772 smb:6341 d:- ref:0 ;
in:127 out:127 type:B dur:2 cpbdur:2 q:18.13 aq:17.87 tex:2547 mv:754 misc:667 imb:0 pmb:79 smb:8081 d:- ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:18.25 aq:21.07 tex:1353 mv:521 misc:534 imb:2 pmb:58 smb:8100 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:18.01 aq:20.51 tex:401 mv:104 misc:503 imb:0 pmb:19 smb:8141 d:- ref:0 ;
in:133 out:130 type:P dur:2 cpbdur:2 q:17.65 aq:9.30 tex:111208 mv:1776 misc:4920 imb:39 pmb:1287 smb:6834 d:- ref:0 ;
in:131 out:131 type:B dur:2 cpbdur:2 q:17.77 aq:18.30 tex:2268 mv:606 misc:718 imb:0 pmb:79 smb:8081 d:- ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:17.83 aq:19.82 tex:692 mv:183 misc:525 imb:0 pmb:28 smb:8132 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:17.71 aq:19.52 tex:412 mv:112 misc:588 imb:0 pmb:40 smb:8120 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:17.44 aq:9.06 tex:81116 mv:1083 misc:4497 imb:24 pmb:1069 smb:7067 d:- ref:0 ;
in:135 out:135 type:B dur:2 cpbdur:2 q:17.54 aq:17.67 tex:1419 mv:316 misc:617 imb:0 pmb:50 smb:8110 d:- ref:0 ;
in:134 out:136 type:b dur:2 cpbdur:2 q:17.60 aq:13.78 tex:280 mv:54 misc:466 imb:2 pmb:9 smb:8149 d:- ref:0 ;
